movie_name,area_code,region_name,mapping_type,evidence,confidence,trending_score
기생충,1,서울,SHOT,"성북구 자하문로·마포구 아현동 골목 실촬영 + 반지하/부촌 대비 배경",5,95.0
기생충,31,경기,BACKGROUND,"수도권 주거 격차의 상징적 배경",3,70.0
올드보이,1,서울,SHOT,"한강·이수교·건대 일대 실촬영",4,70.0
범죄도시,1,서울,SHOT,"구로·가리봉동 조선족 상권 실촬영",4,82.0
범죄도시,2,인천,BACKGROUND,"차이나타운·월미 조선족 권역 연계",3,68.0
범죄도시2,1,서울,BACKGROUND,"구로 마석가구단지 연계 배경",3,76.0
범죄도시3,1,서울,SHOT,"금천·구로 일대 실촬영",3,72.0
범죄도시4,1,서울,SHOT,"가산·구로·금천 주요 배경",3,70.0
서울의 봄,1,서울,SHOT,"중구·종로·용산 정치·군사 동선 실촬영",5,93.0
1987,1,서울,BACKGROUND,"남영동 대공분실·연세대 앞 시위 배경",5,80.0
1987,39,제주,BACKGROUND,"박종철 고향 제주 + 사건 취재 동선",2,45.0
남산의 부장들,1,서울,BACKGROUND,"궁정동·남산 중심 정치 드라마",4,70.0
벌새,1,서울,SHOT,"대치동 아파트 단지·한강시민공원 실촬영",5,72.0
헌트,1,서울,SHOT,"안기부·명동·광화문 일대 실촬영",4,74.0
말모이,1,서울,SHOT,"종로·북촌 조선어학회 장면",4,62.0
추격자,1,서울,SHOT,"망원·마포 골목 실촬영",4,80.0
엑시트,1,서울,SHOT,"강남·남산 고층 빌딩 탈출",4,76.0
콘크리트 유토피아,1,서울,BACKGROUND,"강남 재난 이후 아파트 디스토피아",4,78.0
암살,1,서울,BACKGROUND,"경성(1930 서울) + 상하이 가상 공간",3,72.0
신과함께-죄와 벌,1,서울,BACKGROUND,"서울 출신 가족의 이승/저승 서사",3,70.0
내부자들,1,서울,BACKGROUND,"정치·재벌 서울 본사",3,66.0
타짜,1,서울,BACKGROUND,"청계천·종로 도박판 배경",3,68.0
박하사탕,1,서울,SHOT,"광화문·종로 일대 실촬영",4,58.0
잠,1,서울,BACKGROUND,"서울 아파트 심리 스릴러",3,64.0
길복순,1,서울,SHOT,"강남·종로 서울 전역 실촬영",3,60.0
30일,1,서울,BACKGROUND,"서울 도시 커플 코미디 배경",3,55.0
쉬리,1,서울,SHOT,"63빌딩·잠수교 액션",4,65.0
괴물,1,서울,SHOT,"한강 원효대교 일대 실촬영",5,85.0
건축학개론,1,서울,SHOT,"정릉·제기동 90년대 서울 풍경",4,74.0
건축학개론,39,제주,SHOT,"서귀포·성산일출봉 후반부 실촬영",5,85.0
써니,1,서울,SHOT,"노원·방배 80년대 학교 실촬영",4,72.0
댓글부대,1,서울,BACKGROUND,"서울 언론사·인터넷 여론조작 배경",3,58.0
모범택시-극장판,1,서울,BACKGROUND,"서울 택시 액션 배경",2,48.0
유체이탈자,1,서울,SHOT,"서울·경기 일대 액션 로드무비",3,54.0
전우치,1,서울,BACKGROUND,"가상 조선 + 현대 서울 공간",3,60.0
도둑들,1,서울,BACKGROUND,"서울 도심 한탕 케이퍼",3,68.0
달콤한 인생,1,서울,SHOT,"강남 W호텔·청담동 실촬영",4,62.0
타워,1,서울,BACKGROUND,"여의도 초고층 빌딩 재난 설정",3,58.0
부당거래,1,서울,BACKGROUND,"서울 강남경찰서·검찰청 배경",3,60.0
사바하,31,경기,SHOT,"파주 DMZ 인접 산지·양평 실촬영",4,70.0
공조,31,경기,SHOT,"파주·김포 접경 일대 실촬영",4,74.0
극한직업,31,경기,BACKGROUND,"수원 통닭거리 모티브 자영업 코미디",4,85.0
외계+인 1부,31,경기,BACKGROUND,"고려 + 현대 경기 사극/SF",3,68.0
외계+인 2부,31,경기,BACKGROUND,"경기 고려 사극 배경 지속",3,62.0
파묘,31,경기,SHOT,"여주·이천 산속 묘지 실촬영",5,89.0
살인의 추억,31,경기,THEME,"화성 연쇄살인 사건 실화 배경",5,90.0
공동경비구역 JSA,31,경기,THEME,"파주 DMZ 판문점 배경",5,86.0
이끼,31,경기,SHOT,"양평·여주 시골 마을 실촬영",4,68.0
왕의 남자,31,경기,SHOT,"수원 화성·용인 한국민속촌 실촬영",5,80.0
달짝지근해: 7510,31,경기,SHOT,"경기 남양주 제과점 로케",3,55.0
시민덕희,31,경기,BACKGROUND,"경기 화성·안산 일대 실화 배경",3,58.0
버닝,31,경기,SHOT,"파주 임진강 일대 실촬영",4,70.0
한공주,31,경기,THEME,"경기 고등학교 기반 실화 모티브",3,60.0
더 킹,31,경기,BACKGROUND,"수원·안산 검찰 실무 배경",3,56.0
명량,38,전남,THEME,"진도 울돌목·해남 명량해전 배경",5,82.0
노량: 죽음의 바다,36,경남,THEME,"남해 노량해전 역사 배경",4,72.0
한산: 용의 출현,36,경남,SHOT,"통영·한산도 해전 재현 촬영",5,84.0
밀양,36,경남,SHOT,"밀양 시내·영남루 실촬영",4,70.0
"로봇, 소리",36,경남,SHOT,"거제·통영 해안 로드무비",3,56.0
연애의 온도,36,경남,BACKGROUND,"창원 직장 커플 배경",2,48.0
부산행,6,부산,SHOT,"KTX 부산행 종착 + 부산역·해운대",5,95.0
해운대,6,부산,SHOT,"해운대 해수욕장 실촬영 + 재난",5,93.0
국제시장,6,부산,SHOT,"중구 국제시장·영도다리 실촬영",5,88.0
친구,6,부산,SHOT,"초량·영도 골목 실촬영",5,82.0
변호인,6,부산,SHOT,"부산 남포동·서면 실촬영",5,85.0
범죄와의 전쟁: 나쁜놈들 전성시대,6,부산,BACKGROUND,"1980년대 부산 건달 세계",4,78.0
반도,6,부산,BACKGROUND,"부산행 후속편 부산 폐허",3,70.0
7광구,6,부산,BACKGROUND,"부산 심해 시추선",3,60.0
아저씨,6,부산,BACKGROUND,"부산 장림동 은신처",3,68.0
마더,6,부산,BACKGROUND,"부산·경남 시골 정서",3,66.0
리틀 포레스트,35,경북,SHOT,"영주·군위 사계절 농촌 실촬영",5,86.0
남한산성,35,경북,BACKGROUND,"경북 문경새재 촬영 일부",3,64.0
사도,35,경북,BACKGROUND,"경북 문경새재·안동 한옥 실촬영",3,62.0
황해,35,경북,BACKGROUND,"포항·경북 해안 일부 실촬영",3,58.0
동승,35,경북,SHOT,"안동 청량사·봉정사 고찰 실촬영",3,48.0
봄날은 간다,32,강원,SHOT,"삼척 맹방해변·강릉 동해안 실촬영",4,72.0
아가씨,32,강원,SHOT,"강원·경기 고택 실촬영",4,68.0
백두산,32,강원,SHOT,"강원 평창·속초 화산 세트",3,74.0
동주,32,강원,BACKGROUND,"강원 일대 윤동주 시인 배경 촬영",3,60.0
늑대소년,32,강원,SHOT,"평창·대관령 일대 실촬영",5,82.0
치악산,32,강원,SHOT,"원주 치악산 실촬영",4,56.0
라디오스타,32,강원,SHOT,"영월 실촬영",5,68.0
인천상륙작전,2,인천,SHOT,"월미도·자유공원 실촬영",5,82.0
비상선언,2,인천,BACKGROUND,"인천공항 이륙 재난",3,62.0
파일럿,2,인천,BACKGROUND,"인천공항 민항 스토리",3,55.0
연평해전,2,인천,THEME,"서해 연평해역 + 인천 해군기지",4,68.0
택시운전사,5,광주,SHOT,"광주 금남로·옛 전남도청 실촬영",5,90.0
화려한 휴가,5,광주,SHOT,"5.18 민주화운동 금남로 배경",5,85.0
도가니,5,광주,THEME,"광주 인화학교 사건 실화",4,72.0
밀양,4,대구,BACKGROUND,"경북 + 대구 생활권 전도사 배경",3,58.0
플란다스의 개,4,대구,BACKGROUND,"대구 대단지 아파트 실촬영 일부",3,52.0
굿바이싱글,3,대전,BACKGROUND,"대전 병원·가족 배경",2,45.0
내일의 기억,3,대전,THEME,"대전 과학도시 치매 테마",2,40.0
더 테러 라이브,7,울산,BACKGROUND,"울산대교 폭파 설정",2,48.0
코리아,7,울산,THEME,"울산 현대 팀 탁구 배경",2,45.0
미나리,8,세종,THEME,"한국 시골 정서 연결 (해외 촬영)",2,42.0
클레멘타인,33,충북,BACKGROUND,"청주 일대 액션 배경",2,42.0
귀향,33,충북,THEME,"일제 강제동원 실화 + 충북 생활권",3,54.0
제천국제음악영화제,33,충북,THEME,"제천 음악영화 테마 관광 연결",2,38.0
밀수,34,충남,SHOT,"태안·안면도 해녀 실촬영",5,82.0
태극기 휘날리며,34,충남,BACKGROUND,"6.25 충남 낙동강 전선 일부",3,70.0
황산벌,34,충남,THEME,"황산벌 전투(논산) 역사 배경",3,52.0
마녀,37,전북,SHOT,"전주·무주 숲 로케",4,68.0
군도: 민란의 시대,37,전북,BACKGROUND,"전주·임실 전라도 사극",3,62.0
관상,37,전북,SHOT,"전주 한옥마을·무주 세트",4,70.0
곡성,38,전남,SHOT,"곡성군 옥과·죽곡면 실촬영",5,80.0
청연,38,전남,BACKGROUND,"일제강점기 전남 목포 일대",2,48.0
기묘한 가족,38,전남,BACKGROUND,"전남 장흥군 실촬영",3,58.0
지슬,39,제주,THEME,"제주 4.3 사건 실화 배경",4,62.0
이어도,39,제주,THEME,"제주 이어도 전설 배경",2,42.0
파도,39,제주,SHOT,"제주 해안 서핑 로드무비",2,48.0
베테랑,1,서울,SHOT,"강남·여의도 재벌 수사 실촬영",5,88.0
베테랑2,1,서울,SHOT,"강남·종로 서울 전역 재벌 2세 수사",5,84.0
신세계,1,서울,SHOT,"여의도·종로 실촬영 + 강남 호텔 옥상",4,80.0
아수라,1,서울,BACKGROUND,"가상 도시 안남시 = 수도권 권력 배경",3,64.0
마약왕,1,서울,BACKGROUND,"1970년대 서울 마약 업계 + 부산 일부",3,62.0
킹메이커,1,서울,BACKGROUND,"1960~70년대 서울 정치 캠페인",3,58.0
독전,1,서울,SHOT,"강남·한남 마약 수사 실촬영",4,66.0
독전 2,1,서울,BACKGROUND,"전작 이어지는 서울 도심 배경",2,50.0
강철비,1,서울,BACKGROUND,"청와대·종로 정치 스릴러",3,58.0
강철비2: 정상회담,1,서울,BACKGROUND,"청와대 정상회담 무대",3,54.0
소공녀,1,서울,SHOT,"강남·성수 빈민 여성 로드무비",3,50.0
82년생 김지영,1,서울,BACKGROUND,"수도권 직장 여성 서사",4,64.0
완벽한 타인,1,서울,BACKGROUND,"서울 아파트 저녁 식사 밀실극",3,58.0
아이 캔 스피크,1,서울,BACKGROUND,"서대문구청 민원실 일대",3,54.0
극한직업,1,서울,SHOT,"마약반 위장 치킨집 서울 외곽 실촬영",5,90.0
드림,1,서울,BACKGROUND,"홈리스 축구단 서울 연고",3,58.0
싱글 인 서울,1,서울,THEME,"서울 도시 로맨스 코미디",3,48.0
완벽한 가족,1,서울,BACKGROUND,"서울 상류층 아파트 드라마",2,44.0
"전,란",1,서울,BACKGROUND,"조선시대 한양 배경 사극",3,62.0
시민덕희,31,경기,BACKGROUND,"화성·안산 일대 보이스피싱 실화 배경",3,60.0
밀수,34,충남,SHOT,"태안·안면도 해녀 + 군산 일부 실촬영",5,82.0
비공식작전,1,서울,BACKGROUND,"1987년 외교관 납치 실화(서울 외교부)",3,56.0
범죄도시2,1,서울,BACKGROUND,"구로·가리봉 + 베트남 원정(가상)",4,80.0
모가디슈,1,서울,BACKGROUND,"남북 공조 + 외교부 서울 장면 일부",3,60.0
헤어질 결심,6,부산,SHOT,"부산 송도·해운대·이포 일대 실촬영",5,90.0
헤어질 결심,32,강원,SHOT,"이포 안개 장면 + 강원 일부",3,58.0
드라이브,1,서울,BACKGROUND,"서울·경기 고속도로 납치 스릴러",2,44.0
화란,31,경기,SHOT,"화성·안산 공단 청소년 누아르",3,56.0
육사오,32,강원,SHOT,"철원 DMZ 인근 로또 코미디 실촬영",3,60.0
비상선언,2,인천,BACKGROUND,"인천공항 이륙 테러 재난",3,64.0
모범시민,1,서울,BACKGROUND,"서울 검찰·법원 복수극",2,46.0
그녀가 죽었다,1,서울,SHOT,"서울 상수·합정 SNS 스토커 스릴러",3,56.0
외계+인 2부,32,강원,BACKGROUND,"강원 산지 고려 촬영지",2,50.0
보고타: 마지막 기회의 땅,1,서울,BACKGROUND,"IMF 이후 서울 출발 콜롬비아 이민",2,42.0
대외비,6,부산,SHOT,"1992년 부산 총선 정치 실화",3,62.0
공작,1,서울,BACKGROUND,"1990년대 말 서울 안기부·평양 왕래",3,62.0
인랑,1,서울,BACKGROUND,"근미래 서울 디스토피아",2,46.0
1947 보스톤,6,부산,BACKGROUND,"해방 직후 부산·서울 마라톤 출발",3,54.0
기적,35,경북,SHOT,"봉화 양원역 실화 배경 로컬",4,66.0
차이나타운,2,인천,SHOT,"인천 차이나타운·월미도 실촬영",4,72.0
공조2: 인터내셔날,2,인천,SHOT,"인천 + 서울 남북+미 공조 액션",4,78.0
모가디슈,2,인천,BACKGROUND,"외교관 탈출 후 인천공항 귀국",2,48.0
이웃사촌,2,인천,BACKGROUND,"인천 주택가 가택연금 정치 코미디",3,56.0
박열,2,인천,BACKGROUND,"인천 출신 독립운동가 + 일본",3,54.0
귀향,2,인천,BACKGROUND,"인천 부평 위안부 생존자 증언 씬",3,50.0
국가부도의 날,3,대전,BACKGROUND,"1997 IMF 대전·서울 은행 배경",3,58.0
7번방의 선물,3,대전,BACKGROUND,"대전교도소 배경 가족 드라마",5,80.0
보호자,3,대전,BACKGROUND,"대전·청주 조직폭력 배경",2,44.0
탐정: 리턴즈,3,대전,BACKGROUND,"대전·충청 지방 수사 로드",3,54.0
내가 죽던 날,3,대전,SHOT,"충청권 해안 절벽 + 대전 경유",3,48.0
수상한 그녀,4,대구,SHOT,"대구 사진관·계산동 실촬영",4,68.0
카트,4,대구,BACKGROUND,"대형마트 비정규직 투쟁(대구·경기 배경)",3,58.0
영웅,4,대구,BACKGROUND,"안중근 의사 + 대구 애국지사 배경",3,58.0
말아톤,1,서울,SHOT,"서울·경기 마라톤 실촬영 실화",4,72.0
좋아해줘,5,광주,BACKGROUND,"광주 대학가 로맨스",2,44.0
아저씨,5,광주,BACKGROUND,"광주 일대 은신 + 서울 액션",2,46.0
쎄시봉,5,광주,BACKGROUND,"60~70년대 광주 청년문화 일부",2,44.0
살아남은 아이,5,광주,SHOT,"광주 외곽 실촬영 가족 드라마",3,50.0
1987,5,광주,THEME,"광주 5.18 연결 민주화 전사",3,58.0
하녀,7,울산,BACKGROUND,"울산 부호 저택 세트",2,48.0
밀정,7,울산,BACKGROUND,"울산 영남루 인근 일부 + 서울",2,44.0
터널,7,울산,SHOT,"울산 신항 터널 실촬영",4,70.0
침묵,7,울산,BACKGROUND,"울산 재벌가 법정 드라마",2,44.0
천문: 하늘에 묻는다,8,세종,THEME,"세종대왕·장영실 세종시 테마 연계",3,56.0
관상,8,세종,BACKGROUND,"조선 중기 수도권 + 세종 사극 연계",2,46.0
택시운전사,31,경기,BACKGROUND,"서울·경기 고속도로 광주행 여정",3,58.0
택시운전사,34,충남,BACKGROUND,"대전·충남 경유 광주행",3,56.0
마녀 Part2. The Other One,37,전북,SHOT,"전북 산지 + 강원 일부",4,68.0
극한직업,37,전북,BACKGROUND,"전주 수원왕갈비통닭 모티브 설정",3,64.0
검은 사제들,32,강원,SHOT,"강원 산사 + 서울 일부 실촬영",3,56.0
검사외전,6,부산,SHOT,"부산 해운대·기장 실촬영",4,74.0
수상한 그녀,6,부산,BACKGROUND,"부산 서면·남포동 일부",3,54.0
모가디슈,6,부산,BACKGROUND,"부산 출신 외교관 가족 배경",2,46.0
협상,2,인천,BACKGROUND,"인천공항 인질 협상 + 태국 현지",3,58.0
카시오페아,1,서울,BACKGROUND,"치매 아버지와 딸 수도권 생활",2,44.0
혼자 사는 사람들,1,서울,SHOT,"서울 신도림 콜센터 원룸 실촬영",3,52.0
한 남자,1,서울,BACKGROUND,"서울 법무사 사무소 미스터리",2,42.0
경관의 피,1,서울,BACKGROUND,"서울 강남 경찰·재벌 범죄",2,50.0
유령,1,서울,BACKGROUND,"1930년대 경성 총독부 스파이",3,60.0
올빼미,1,서울,SHOT,"창경궁·경복궁 조선 궁중 사극",5,82.0
